Date,Close,MA10
2025-07-16,321.67,
2025-07-17,319.41,
2025-07-18,329.65,
2025-07-21,328.49,
2025-07-22,332.11,
2025-07-23,332.56,
2025-07-24,305.3,
2025-07-25,316.06,
2025-07-28,325.59,
2025-07-29,321.2,323.204
2025-07-30,319.04,322.941
2025-07-31,308.27,321.827
2025-08-01,302.63,319.125
2025-08-04,309.26,317.202
2025-08-05,308.72,314.863
2025-08-06,319.91,313.598
2025-08-07,322.27,315.29499999999996
2025-08-08,329.65,316.654
2025-08-11,339.03,317.998
2025-08-12,340.84,319.962
2025-08-13,339.38,321.996
2025-08-14,335.58,324.727
2025-08-15,330.56,327.52
2025-08-18,335.16,330.11
2025-08-19,329.31,332.169
2025-08-20,323.9,332.568
2025-08-21,320.11,332.352
2025-08-22,340.01,333.38800000000003
2025-08-25,346.6,334.145
2025-08-26,351.67,335.228
