Date,Close,MA10
2025-07-16,210.16,
2025-07-17,210.02,
2025-07-18,211.18,
2025-07-21,212.48,
2025-07-22,214.4,
2025-07-23,214.15,
2025-07-24,213.76,
2025-07-25,213.88,
2025-07-28,214.05,
2025-07-29,211.27,212.535
2025-07-30,209.05,212.42400000000004
2025-07-31,207.57,212.179
2025-08-01,202.38,211.29899999999998
2025-08-04,203.35,210.38600000000002
2025-08-05,202.92,209.238
2025-08-06,213.25,209.148
2025-08-07,220.03,209.775
2025-08-08,229.35,211.32199999999997
2025-08-11,227.18,212.635
2025-08-12,229.65,214.473
2025-08-13,233.33,216.901
2025-08-14,232.78,219.42199999999997
2025-08-15,231.59,222.343
2025-08-18,230.89,225.09699999999998
2025-08-19,230.56,227.86100000000002
2025-08-20,226.01,229.137
2025-08-21,224.9,229.62399999999997
2025-08-22,227.76,229.465
2025-08-25,227.16,229.46300000000002
2025-08-26,229.31,229.429
