Date,Close,MA10
2025-07-16,505.62,
2025-07-17,511.7,
2025-07-18,510.05,
2025-07-21,510.06,
2025-07-22,505.27,
2025-07-23,505.87,
2025-07-24,510.88,
2025-07-25,513.71,
2025-07-28,512.5,
2025-07-29,512.57,509.82300000000004
2025-07-30,513.24,510.58500000000004
2025-07-31,533.5,512.765
2025-08-01,524.11,514.171
2025-08-04,535.64,516.729
2025-08-05,527.75,518.9770000000001
2025-08-06,524.94,520.884
2025-08-07,520.84,521.88
2025-08-08,522.04,522.713
2025-08-11,521.77,523.64
2025-08-12,529.24,525.307
2025-08-13,520.58,526.0409999999999
2025-08-14,522.48,524.9390000000001
2025-08-15,520.17,524.545
2025-08-18,517.1,522.691
2025-08-19,509.77,520.893
2025-08-20,505.72,518.971
2025-08-21,504.24,517.3109999999999
2025-08-22,507.23,515.83
2025-08-25,504.26,514.079
2025-08-26,502.04,511.35900000000004
